1,47
5,57
5,76
6,25
6,94
7,98
7,102
8,16
8,53
9,26
10,64
11,35
11,105
12,24
13,56
13,70
15,89
16,75
18,12
18,73
20,28
21,18
22,106
22,108
23,62
23,63
24,64
24,73
25,15
26,66
27,18
32,27
32,105
35,32
35,68
39,5
39,15
40,82
48,6
51,56
51,97
53,84
53,85
57,58
57,107
58,79
58,103
59,7
61,82
63,68
66,30
66,53
69,96
70,37
71,10
71,39
72,6
72,71
73,10
73,72
75,62
76,52
76,81
79,107
82,7
82,46
84,16
85,93
88,39
88,76
89,5
89,58
91,11
91,51
92,59
92,65
93,61
93,92
94,70
94,90
96,92
97,13
98,46
105,48
105,51
106,4
108,9
108,20
