1,91
2,31
3,91
4,28
4,108
5,76
6,25
6,94
7,102
8,53
9,26
9,99
10,64
11,35
11,105
13,56
13,70
15,89
19,87
20,28
20,77
21,32
22,106
22,108
25,15
25,71
26,20
26,66
27,72
28,34
28,104
31,59
32,27
32,105
35,32
35,68
36,9
37,90
38,26
38,30
39,5
39,15
40,82
42,40
46,95
47,3
48,6
48,27
51,56
53,84
56,48
56,94
58,79
59,7
60,74
63,68
66,30
66,53
68,19
68,21
71,10
71,39
72,6
72,71
73,10
73,72
77,66
77,85
79,107
85,80
86,98
87,21
90,25
91,11
94,90
95,11
96,104
99,38
101,35
104,77
104,93
105,48
105,51
106,4
106,50
108,9
108,20
